name,internal_id_number
HELLAS EASY FOOD TRADING CC,C0006
MJ MOLUTSI BUS SERVICES CC,C0039
ELIADES VENDING INDUSTRY CC,C0042
KYRIACOS AMUSEMENT CC,C0043
MJ MOLUTSI FUNERAL SERVICES CC,C0046
JOCY TOMBSTONE MANUFACTURERS CC,C0047
SIGHTS AND SOUND MULTI-MEDIA CC,C0088
VENGIES ENTERTAINMENT CC,C0092
LAUBECOL BUILDING CC,C0093
VANS BELEGGINGS CC,C0094
JUST FIVE PROPERTY INVESTMENTS CC,C0095
COSGI PROPERTY INVESTMENTS CC,C0096
J S W ENGINEERING CC,C0097
D S D TRADING CC,C0098
ANG-JO-TAM FARMING CC,C0099
BEST PROSPECTS 141 CC,C0100
KQ KNITWEAR CC,C0101
BONAKELE TRADING ENTERPRISE CC,C0102
SNAP SHOT INVESTMENTS 1043 CC,C0103
THE GOLDEN GOOSE CATERING AND CAKE DECORATING CC,C0104
BLUE DOT PROPERTIES 1032 CC,C0105
SKYPLAY HOLDINGS LIMITED,CY0001
NITIDUS MEDIA LIMITED,CY0002
LONG STREET ASSOCIATION NPO,N0007
FLAIR SOUTH AFRICA,NPC0002
JOHNNY ELIADES FOUNDATION NPC NPO,NPC0003
PROFOUND MINISTRIES NPC,NPC0004
3 - 39 KOK STREET NPC,NPC0005
THE WELL ON LONG STREET NPC,NPC0006
HAPPYHEALTHYHUMAN NPC,NPC0007
TOEKOMSVONK NPC,NPCJ001
JS ENGINEERING (PTY) LTD,O0001
SYSTEMICLOGIC TECHNOLOGIES (PTY)LTD RESIGNED,O0003
BRACKENGATE SUPERMARKET CC,O0004
BRACKENDOWNS LIQUOR STORE (PTY) LTD,O0005
KUDU BUSH SOUTH AFRICA  PTY LTD,O0013
LEBO WINDERS (PTY) LTD,O0016
BRACKENGATE INVESTMENTS CC,O0019
NCSD (PTY) LTD,O0020
MAPONYA GAMING NW (PTY) LTD,O0029
MAWETSE GAMING (PTY) LTD,O0030
MAPONYA GAMING MANAGEMENT (PTY) LTD,O0031
MICON PLANT AND CONSTRUCTION (PTY) LTD,O0032
GANHANDOR (PTY) LTD,O0034
AFRICA INFRASTRUCTURE DEVELOPMENT HOLDINGS (PTY) LTD,O0037
RAINBOW INFRASTRUCTURE DEVELOPMENT  HOLDINGS (PTY) LTD,O0039
AIDH CONSTRUCTION (PTY) LTD,O0040
FFS BUSINESS PLANNING (PTY) LTD,O0042
GOLF SLOTS (PTY) LTD,O0043
BETSHACK NORTH WEST (PTY LTD,O0044
BONELMA (PTY) LTD,O0048
KHOLIZO TRUST,O0050
HUZK (PTY) LTD,O0051
SUCCESSNO2 (PTY) LTD,O0053
