internal_id_number,name,income_tax_number,entity_reg_number,client_type,vat_reg_number,vat_category,month_end,last_day,email,cell_number,contact_person,contact_person_cell,registered_address,is_active,is_sa_resident,first_financial_year
C0006,HELLAS EASY FOOD TRADING CC,9890066153,2008/235842/23,Close Corporation,4950253197,B,2,28,oceanpotc@gmail.com,0662016273Spiro,,,"26 Borcherds Street
PotchefstroomPotchefstroom
North West
South Africa
2531",1,1,2009
C0039,MJ MOLUTSI BUS SERVICES CC,9090326175,2007/222714/23,Close Corporation,,,2,28,cynthia.kt500@gmail.com,0738302312or072,,,,0,1,2008
C0042,ELIADES VENDING INDUSTRY CC,9147027404,1999/015955/23,Close Corporation,,,2,28,kyriacos@eliadesgroup.com,828842544,,,"169 JAC VAN RHYN AVENUE
UNIVERSITASBLOEMFONTEIN
FREE STATE
South Africa
9301",1,1,2000
C0043,KYRIACOS AMUSEMENT CC,9158014408,1998/062058/23,Close Corporation,,,2,28,kyriacos@eliadesgroup.com,828842544,,,"169 JAC VAN RHYN AVENUE
UNIVERSITASBLOEMFONTEIN
FREE STATE
South Africa
9301",1,1,1999
C0046,MJ MOLUTSI FUNERAL SERVICES CC,9672355154,2008/122540/23,Close Corporation,,,2,28,cynthia.kt500@gmail.com,0738302312or072,,,,0,1,2009
C0047,JOCY TOMBSTONE MANUFACTURERS CC,9042717190,2008/148250/23,Close Corporation,,,2,28,cynthia.kt500@gmail.com,0738302312or072,,,,0,1,2009
C0088,SIGHTS AND SOUND MULTI-MEDIA CC,9032011802,1997/003189/23,Close Corporation,4510239355,,2,28,asavvas@mweb.co.za,,,,"SHOP 39
MATADOR CENTRE
62 STRAND STREET
CAPE TOWN
WESTERN CAPE
RSA
8000",0,1,
C0092,VENGIES ENTERTAINMENT CC,9446709157,2003/105306/23,Close Corporation,4770212399,C,2,28,evan@megadial.com,828003482,,,"36 Market Street
VryburgVryburg
North West
South Africa
8601",1,1,2004
C0093,LAUBECOL BUILDING CC,9474002061,1997/020127/23,Close Corporation,4660166176,B,2,28,evan@megadial.com,,,,"36 MARKET STREET
VRUBURGVRUBURG
NORTH WEST
South Africa
8601",1,1,1998
C0094,VANS BELEGGINGS CC,9200002864,1988/017273/23,Close Corporation,,,6,30,evan@megadial.com,,,,"36 Market Street
VryburgVryburg
North West
South Africa
8601",1,1,1988
C0095,JUST FIVE PROPERTY INVESTMENTS CC,9507876150,2006/220844/23,Close Corporation,,,2,28,evan@megadial.com,825248370,,,"36 MARKET STREET
VRYBURGVRYBURG
NORTH WEST
South Africa
8601",1,1,2007
C0096,COSGI PROPERTY INVESTMENTS CC,9039005427,1997/020020/23,Close Corporation,4810165193,B,2,28,maria@ieint.com,,,,"257 KOPPIE ALLEEN ROAD
REITZ PARKWELKOM
FREE STATE
South Africa
9459",1,1,1998
C0097,J S W ENGINEERING CC,9316474155,2003/088755/23,Close Corporation,,,2,28,peter@jsengineering.co.za,0832601585peter,,,"56 TILE ROAD
BOKSBURG NORTHBOKSBURG
GAUTENG
South Africa
1459",0,1,2004
C0098,D S D TRADING CC,9153322848,1994/027211/23,Close Corporation,,,2,28,milos@sumar.za.net,636169235,,,"14 TANA ROAD
SUNNINGHILL PARKJOHANNESBURG
GAUTENG
South Africa
2157",0,1,1995
